p_archivos,ej5-load,ej5-merge,ej6
79,40360249,222266626,82043861
80,46205008,220283648,83303352
81,42265990,220699543,82036384
82,40944513,221673119,81167958
83,34178072,219681573,80864144
84,44284930,219386640,82221197
85,34987504,240910322,91413232
86,37889371,241409795,90706215
87,48347146,244414496,90447894
88,42040287,242590637,92316207
89,47949087,242190426,91486975
90,44822462,254820844,91530259
91,41840968,246918081,91969400
92,49951623,245376900,91429797
93,47855434,245705135,91423971
94,41730159,242027401,91392005
95,29488732,240442797,82702913
96,22889766,222345085,82026375
97,33881258,220193858,82129066
98,36367005,220316387,83222833
99,37248796,219469903,81538615
100,38592600,219827105,81955369
1,272084138,54317763,266737097
2,122291657,161159220,150989202
3,72095925,190923610,119803468
4,55467443,224492935,103712978
5,57012926,230694850,101649360
6,76383931,231015879,100068280
7,77646025,233047822,97434190
8,93162186,236504664,96339654
9,94607420,237518829,95662596
10,89411562,241888165,94665276
11,85907847,238570861,94999442
12,78679981,240997192,93106220
13,76416191,273715495,124763154
14,87298164,320269139,125436880
15,93793218,319966471,125245594
16,82201772,316990509,123614329
17,85678224,320135415,124369037
18,79313758,321029420,131746167
19,82791653,319703192,121832758
20,79923166,318531817,122005562
21,66771681,278837935,108057887
22,70040827,281685752,109254339
23,67266374,280102109,106171628
24,62339043,280647385,106507987
25,67186811,283574321,107005555
26,70032145,281273964,107524835
27,64136709,283230595,105602011
28,63159725,282205983,105054831
29,71570288,279912205,93948029
30,57287554,240106996,91650053
31,52240627,241030561,91226128
32,52434910,241783907,89883360
33,55996352,241468976,90356616
34,56976605,241824067,90695031
35,54592945,242977558,89977272
36,54181185,241158284,89659086
37,53173451,241663367,90004205
38,47659492,239025421,91051142
39,53690052,242129473,91114381
40,61466879,220294485,82515415
41,58380355,218715325,81615171
42,52900361,220206594,80805708
43,45969917,218333813,80259084
44,46786384,222048572,81448401
45,55680969,218957815,81321734
46,46349811,220581840,80369332
47,57042356,222264692,80683808
48,48217318,220909712,81478317
49,46876232,217525211,81526018
50,53215461,220153879,80587557
51,51099671,230826751,90158614
52,39721206,242367486,89185747
53,43350204,241881104,90921731
54,53378309,239813119,90758288
55,45918785,244111031,88834082
56,47484415,242048693,90663326
57,47661632,243823401,90230559
58,48969116,243751339,89903900
59,32052088,241412184,90264557
60,48395031,241690068,90590641
61,51254126,241327936,95544468
62,66072952,318942671,120096673
63,58869422,320583687,119382925
64,40292840,323376200,119874736
65,62554501,321023793,120006786
66,58966207,321963331,119611484
67,64838331,319629139,120614270
68,69772721,320605147,120634270
69,69806344,321564425,110794412
70,56432243,284128897,104332382
71,47672038,280365783,105217811
72,49282676,281192121,104660972
73,54517401,280291479,104490873
74,46004242,285760351,104963430
75,50120888,286063631,104190388
76,50377977,283728736,104300394
77,45201848,281650986,104690085
78,52402714,282052820,101597528
79,41597785,242028943,90241266
80,41309541,244320605,90208448
81,37410992,244758652,89813790
82,44801535,242885833,90728702
83,46198504,244398621,89562757
84,50057777,243073221,90402333
85,42778339,241325281,89858367
86,40692084,243630801,89331750
87,37066500,243042441,91072898
88,39525876,243579941,89616800
89,45086628,236120728,81306429
90,50026334,236293692,81244479
91,30840729,223700017,82281759
