p_archivos,ej5-load,ej5-merge,ej6
45,239464797,407926034,169563939
46,215328916,401595320,175524903
47,225147068,414143608,187966069
48,216085515,403219404,183537990
49,222693309,322746521,159227061
50,188672693,355131326,137012775
51,203640911,357070030,167385883
52,190918973,348344424,154689558
53,211164507,355288394,157926364
54,200243100,355842775,157552617
55,195169800,362225692,176155428
56,225770581,414664857,179402290
57,238393337,416571920,180044232
58,206726499,412473156,184759088
59,214372599,403657191,187698565
60,198249545,307020477,148612844
61,199020688,348337836,153148786
62,191303542,308136353,152695310
63,198303139,355354293,159150607
64,176856517,350863955,153442561
65,197689504,348638832,154393698
66,229061472,415605208,168732812
67,202845139,414304438,185533097
68,208765688,366287656,180045156
69,217344733,366986626,184972454
70,207859820,354543679,176355328
71,217201840,357073322,162866864
72,197849791,304141907,157257559
73,197694508,355588159,157705062
74,207712888,312575649,154281146
75,208604392,359226348,148767917
76,186843133,308043551,160160780
77,210498333,362510138,168146653
78,244094564,391722905,182494000
79,212008539,408942796,175696474
80,213321949,406376764,188615736
81,216521284,362316400,187116524
82,185501941,355909207,149218415
83,205205945,358093235,158390917
84,204985252,347790152,161312510
85,182359444,355491685,151210165
86,193549556,355363654,161447082
87,207368043,349067046,142082564
88,190260350,323912892,136150240
89,169761293,275766450,129158508
90,185865116,333791988,134835440
91,182971089,296653993,136689084
92,197776412,325347060,131999132
93,168273538,298395128,131859546
94,189898749,304981911,151392154
95,196545909,353403960,150825221
96,195912309,316448875,133313172
97,198180089,341466879,147162265
98,205932333,357642163,155689102
99,189261549,311631739,162450260
100,244722889,476176719,223644267
1,580627997,41383063,575163324
2,292255798,254451714,375779339
3,199152306,323083600,297911350
4,131791821,316765591,229056946
5,133066799,361841544,220070072
6,129249641,317406819,218353856
7,128359702,317497204,215402486
8,140964459,392396085,207131233
9,151788664,392475027,180517853
10,129488870,339586800,174237093
11,134896758,276398445,176262761
12,136142032,276684845,169878103
13,135844957,343460446,171760195
14,137227122,343612412,168839150
15,146118424,343813017,165526749
16,148848480,334337921,202485606
17,161642509,330769315,197924382
18,164725539,398211861,200988932
19,169912489,401817083,191064360
20,167407399,331151168,197407141
21,166632730,402287030,277073398
22,232491740,479951031,280022403
23,230869201,479410746,264736972
24,241675357,489423590,269433469
25,235746479,469349604,227274530
26,201964750,388127915,226104223
27,195946442,388815505,221447274
28,203280714,401669477,217410338
29,216652563,402309410,224440827
30,218004737,374295972,191972464
31,194385100,404542683,191077114
32,203548977,408934132,180567815
33,203884965,411449258,191403608
34,199799595,349003749,192688652
35,204517360,386032347,166339418
36,178621355,299811909,148749564
37,176045264,354139443,165316280
38,187012433,303471563,163808225
39,190765398,355025563,165885455
40,180307596,321548873,161350162
41,207560759,311546514,147005523
42,176435056,276706470,146903887
43,182378048,310365111,130445050
44,191542494,318194239,146880927
45,171224381,318059441,143929030
46,190009922,282914002,134230970
47,173888843,320229220,127132268
48,193790601,305665525,158784511
49,191918921,350297047,158513766
50,196888670,300981831,158954883
51,205786247,355777495,144293915
52,192379134,344381609,163161162
53,203950774,308260903,192355087
54,229326488,400955343,213603173
55,232501861,421004221,214738474
56,244562488,460178668,204696253
57,246487172,408523741,191209138
58,248711877,432274180,180563113
59,210978149,414161208,187855337
60,225099345,370431764,185535336
61,223004437,395917069,186061577
62,207179106,411126705,182665316
63,216177321,324695786,131253837
64,208539337,355441385,153830192
65,207746565,356579682,156264579
66,205462315,360299008,129798861
67,198782640,311331123,151688515
68,188504190,356948896,152003737
69,214465351,408431542,177002223
70,220062186,402485189,184819381
71,210930774,413989146,164529545
72,218697360,418103200,185637687
73,225305311,389115802,187267083
74,211628545,357498342,153421616
75,197347648,309790998,153672610
76,198714457,336029612,144766124
77,215664046,340362674,162322198
78,213558373,357770476,153938148
79,197078480,357893504,163122792
80,214486685,415396183,167275996
81,218044279,398791229,183045738
82,218327859,358769799,177433158
83,214342129,416721961,183479325
84,220261429,404147599,159565182
85,219435449,360583376,153871776
86,198334375,309555606,152758622
87,189122699,306641757,144713100
88,204166853,348081800,157569452
89,198758413,312097533,154815719
90,207266065,326027362,121673479
91,167962375,320119380,140795537
