p_archivos,ej5,ej6
84,149789357,73470900
85,175617017,69452593
86,147453834,70669666
87,149345683,68426575
88,148263348,74583918
89,145344187,71231659
90,152425146,61143117
91,138574595,64846797
92,139634286,62847444
93,133272215,65919693
94,137046482,60858071
95,143781061,64550084
96,138572250,62391481
97,149732660,65376289
98,136163209,62252469
99,149464059,66185648
100,143220183,66223703
1,143073877,136198357
2,88813378,105488728
3,74479538,86329160
4,64777400,79941686
5,75877872,77917753
6,70483121,73341182
7,79413829,72192218
8,89446431,72760911
9,87518817,68191836
10,82901959,70451908
11,87508026,78537752
12,103867045,77128681
13,95437421,73172867
14,99779427,76970989
15,104067040,77475475
16,101817179,77039621
17,107642232,72930711
18,100882006,76528764
19,114346930,71492233
20,107773847,71458697
21,124389828,71439974
22,123351834,70588019
23,115797578,76359451
24,128699868,71480875
25,115997421,74921854
26,118229795,71827551
27,139732548,70733098
28,139326323,73527731
29,133152378,70437095
30,130968677,69193589
31,136343513,70126241
32,143649545,92752358
33,181429101,93083775
34,173210650,97629071
35,197149012,95346065
36,173911582,97751588
37,177444942,102825978
38,179972440,97707506
39,185681038,102436272
40,191432324,98859109
41,191336795,98998891
42,187290335,94427646
43,222142072,93380474
44,202980299,102144258
45,202090320,94626504
46,171482622,85403566
47,163249877,85906073
48,156367612,82069090
49,173093602,83136329
50,160468387,85375112
51,164605895,81499560
52,163362426,80864837
53,165840147,82893507
54,175907034,84410860
55,161852374,83460608
56,189826403,85815690
57,161827576,83229519
58,184273501,79337989
59,169432621,84368408
60,177022179,84099100
61,166479366,87263428
62,146242241,68788016
63,147635547,71372818
64,156174163,70973547
65,146527109,72599144
66,153985875,75090184
67,144919863,69807549
68,158031678,68988499
69,143378862,71407778
70,142411806,72212073
71,157649778,68488981
72,146587574,72876082
73,154930947,68732806
74,154368211,71735171
75,154874207,74130125
76,148541208,68074402
77,151079558,74868731
78,146849894,68820912
79,146051136,67701856
80,160160079,84799899
81,170594323,82697297
82,167483210,80177120
83,167255571,85174577
84,169297607,81137668
85,192205464,81423524
86,175201731,82475652
87,172090644,83808813
88,162157213,81356141
89,169212288,83308051
90,173009653,82651975
91,176018817,84664984
92,171234102,85713889
93,171309816,85602884
94,197531352,86226647
95,167463753,70456251
96,148743461,68848710
97,154053395,72208262
98,148653299,70607499
99,150592337,68547208
100,153639407,70482226
1,148857975,151547571
2,98147357,111596729
