p_archivos,ej5-load,ej5-merge,ej6
69,8810318,15970996,10306421
70,10108915,17396653,10340138
71,9866482,15388451,11363538
72,11069033,17725626,9864260
73,9890627,16633487,11474046
74,8893722,14864174,10281855
75,10396818,17778221,11101717
76,10146780,15665800,11381322
77,11066868,15030549,10827650
78,13517445,17477260,10760155
79,12191105,17983536,13167832
80,10391697,15693027,11272783
81,17810375,19372783,10456408
82,9809490,15977259,10508191
83,9450221,15261148,10182928
84,11788599,17461302,11813188
85,10365356,16916501,12748758
86,17423755,20202786,11251153
87,10724652,15550719,10063525
88,10445156,16007680,11144082
89,9616673,15946387,10694442
90,10712622,17391045,10363224
91,10162523,17152554,11371867
92,15400574,19433547,12607199
93,16214105,18430350,11159148
94,16949371,18936009,11298823
95,9560022,17303985,11338391
96,14472708,17931535,11089065
97,17030190,18913999,10573352
98,12286344,16606603,10897265
99,10638150,17430361,10828770
100,16870629,18496391,10913026
1,145710248,11456550,60117828
2,27502894,16125281,18490475
3,11284352,15365550,13462351
4,6769378,15079274,11207794
5,10327201,15326398,11280850
6,7772344,15924624,10995446
7,7856811,16234166,10808074
8,7749753,17832616,10630394
9,7578928,14984428,10566668
10,8134266,15340568,10667017
11,8440099,17132303,10619047
12,8474341,17509546,10866496
13,8870276,17444157,10808998
14,8168847,15317637,10660722
15,8611931,16878068,10588737
16,8695810,16671518,10547792
17,9432133,18126632,10641515
18,9393327,17713164,10529786
19,9889689,18258304,10634719
20,10400071,17421427,11127773
21,9939512,18281007,10445221
22,12196450,18100061,10922633
23,9579799,18051628,10515471
24,9419923,16062503,10441512
25,12521411,17318432,10487842
26,9782078,18437628,10743556
27,9520770,16330850,10372244
28,10240583,18038021,10789905
29,12615714,19791024,10340630
30,8777971,17985078,10488340
31,8508188,15781911,10921333
32,10996986,17623869,10510512
33,12491453,17767910,10583222
34,11530535,15842654,10684508
35,11454969,18093419,11162262
36,8624646,15455096,11306366
37,9412855,16270450,10568271
38,9675141,15960095,11811300
39,10175499,18153566,11700574
40,10759160,16482482,11140895
41,9464830,16398253,11070768
42,12604140,19466639,11485688
43,8754183,15777329,10807027
44,9962271,16425552,10709825
45,9998597,16006671,11824581
46,14480833,19689654,11513854
47,11194597,18756090,10824997
48,10546257,18598979,10969821
49,10439625,16349639,10802021
50,9746752,17723545,11220823
51,16428420,21168147,10819015
52,9399666,18220618,10863005
53,16208397,20658832,12248602
54,10037388,16499424,11690502
55,13138492,20127989,10746095
56,17608643,19184131,10990323
57,10654676,17010893,11211849
58,15445206,19726140,10981924
59,13691530,19129858,11673674
60,8720902,18374918,10783732
61,14846746,20441831,11036640
62,14915465,20404072,10831314
63,10010510,16527273,10578001
64,9891094,16826629,29422085
65,16154205,19205673,10768671
66,17725744,22825502,10533563
67,10493047,17047195,10355077
68,10874793,16192465,11148936
69,8995659,16536607,11792387
70,12522964,17318355,10696770
71,11350102,17106832,11422881
72,13930030,18396935,10794752
73,12634321,19965845,11499366
74,10642400,17068114,11413296
75,9948294,15875498,10822204
76,19983760,21464586,10978920
77,10764330,18617928,11157744
78,13873490,19476327,11080748
79,14751810,19280664,11170514
80,9559377,17331912,10866348
